"Component Ref ID"; "Pin Ref ID"; "Net Name"; "Mount"; "Side"; posX; posY
"U1"; "N5"; "LDO_PGOOD"; "SMD"; "TOP";33.0216; -69.5274
"U1"; "N4"; "LDO_PGOOD"; "SMD"; "TOP";33.0216; -70.7974
"U1"; "N3"; "ADR_2"; "SMD"; "TOP";33.0216; -72.0674
"U1"; "N2"; "ADR_1"; "SMD"; "TOP";33.0216; -73.3374
"U1"; "N1"; "OPTO_IN2"; "SMD"; "TOP";33.0216; -74.6074
"U1"; "P16"; "NetC3_2"; "SMD"; "TOP";34.2916; -55.5574
"U1"; "P15"; " N/C_00096"; "SMD"; "TOP";34.2916; -56.8274
"U1"; "P14"; "USR3"; "SMD"; "TOP";34.2916; -58.0974
"U1"; "P13"; "USR0"; "SMD"; "TOP";34.2916; -59.3674
"U1"; "P12"; "USB_OTG0_FAULTB"; "SMD"; "TOP";34.2916; -60.6374
"U1"; "P11"; "NetR79_1"; "SMD"; "TOP";34.2916; -61.9074
"U1"; "P10"; "VDD_5V"; "SMD"; "TOP";34.2916; -63.1774
"U1"; "P9"; "VDD_USB_5V"; "SMD"; "TOP";34.2916; -64.4474
"U1"; "P8"; "NetU1_N7"; "SMD"; "TOP";34.2916; -65.7174
"U1"; "P7"; "CFG_5"; "SMD"; "TOP";34.2916; -66.9874
"U1"; "P6"; "CFG_2"; "SMD"; "TOP";34.2916; -68.2574
"U1"; "P5"; "ADR_3"; "SMD"; "TOP";34.2916; -69.5274
"U1"; "P4"; "MMC1_DAT6"; "SMD"; "TOP";34.2916; -70.7974
"U1"; "P3"; " N/C_00074"; "SMD"; "TOP";34.2916; -72.0674
"U1"; "P2"; "NetR256_1"; "SMD"; "TOP";34.2916; -73.3374
"U1"; "P1"; "MMC1_CMD"; "SMD"; "TOP";34.2916; -74.6074
"U1"; "R16"; " N/C_00098"; "SMD"; "TOP";35.5616; -55.5574
"U1"; "R15"; "USB_OTG1_FAULTB"; "SMD"; "TOP";35.5616; -56.8274
"U1"; "R14"; "USR2"; "SMD"; "TOP";35.5616; -58.0974
"U1"; "R13"; "NMMC1_RST"; "SMD"; "TOP";35.5616; -59.3674
"U1"; "R12"; "NetD1_1"; "SMD"; "TOP";35.5616; -60.6374
"U1"; "R11"; "NetC24_1"; "SMD"; "TOP";35.5616; -61.9074
"U1"; "R10"; "VDD_5V"; "SMD"; "TOP";35.5616; -63.1774
"U1"; "R9"; "VDD_USB_5V"; "SMD"; "TOP";35.5616; -64.4474
"U1"; "R8"; "NetU1_N7"; "SMD"; "TOP";35.5616; -65.7174
"U1"; "R7"; "CFG_6"; "SMD"; "TOP";35.5616; -66.9874
"U1"; "R6"; "CFG_3"; "SMD"; "TOP";35.5616; -68.2574
"U1"; "R5"; "CFG_0"; "SMD"; "TOP";35.5616; -69.5274
"U1"; "R4"; "MMC1_DAT7"; "SMD"; "TOP";35.5616; -70.7974
"U1"; "R3"; "MMC1_DAT0"; "SMD"; "TOP";35.5616; -72.0674
